date,driver_id,hours_on_road,hours_on_break,loads_delivered,minutes_ahead_behind
2025-07-05,D002,6.4,4.3,0,20
2025-07-05,D003,6.0,3.2,0,31
2025-07-05,D004,6.8,2.6,0,4
2025-07-06,D001,9.2,1.9,1,13
2025-07-06,D002,6.7,2.4,5,17
2025-07-06,D003,7.9,1.9,1,11
2025-07-06,D004,8.0,3.4,0,17
2025-07-07,D001,7.9,3.0,1,12
2025-07-07,D002,5.8,3.2,1,31
2025-07-07,D003,8.4,1.7,0,24
2025-07-07,D004,7.2,2.2,2,22
2025-07-08,D001,7.3,3.7,2,10
2025-07-08,D002,6.4,3.2,1,22
2025-07-08,D003,7.6,2.4,1,15
2025-07-08,D004,7.1,2.7,0,0
2025-07-09,D001,6.7,2.7,1,16
2025-07-09,D002,7.0,3.0,2,14
2025-07-09,D003,7.9,3.1,1,9
2025-07-09,D004,8.4,2.9,0,22
2025-07-10,D001,8.0,3.6,1,26
2025-07-10,D002,7.8,2.9,0,13
2025-07-10,D003,8.4,3.7,2,30
2025-07-10,D004,6.8,2.5,1,9
2025-07-11,D001,5.9,4.7,1,18
2025-07-11,D002,6.7,2.0,0,19
2025-07-11,D003,6.4,2.9,2,36
2025-07-11,D004,8.0,4.4,1,13
2025-07-12,D001,6.7,3.1,1,20
2025-07-12,D002,4.3,3.2,3,24
2025-07-12,D003,4.6,2.6,2,19
2025-07-12,D004,8.1,3.1,1,12
2025-07-13,D001,7.5,2.6,1,20
2025-07-13,D002,7.5,2.8,1,1
2025-07-13,D003,6.7,2.8,0,18
2025-07-13,D004,8.5,2.5,0,15
2025-07-14,D001,6.8,3.4,2,19
2025-07-14,D002,8.0,2.2,0,29
2025-07-14,D003,6.5,3.3,1,15
2025-07-14,D004,6.9,3.3,1,22
2025-07-15,D001,4.6,2.6,2,26
2025-07-15,D002,7.2,3.0,1,25
2025-07-15,D003,5.4,3.5,0,21
2025-07-15,D004,6.4,3.4,0,-8
2025-07-16,D001,6.4,2.8,0,27
2025-07-16,D002,5.1,3.0,0,25
2025-07-16,D003,6.7,1.7,3,39
2025-07-16,D004,9.3,2.1,3,16
2025-07-17,D001,7.2,1.8,1,32
2025-07-17,D002,6.4,2.7,0,8
2025-07-17,D003,8.4,2.7,2,30
2025-07-17,D004,6.5,2.4,1,12
2025-07-18,D001,4.1,3.5,3,30
2025-07-18,D002,7.2,4.3,1,26
2025-07-18,D003,4.7,2.3,1,12
2025-07-18,D004,5.8,1.5,1,14
2025-07-19,D001,7.9,2.3,0,18
2025-07-19,D002,6.5,1.9,1,9
2025-07-19,D003,6.4,2.2,2,22
2025-07-19,D004,7.0,3.6,2,8
2025-07-20,D001,6.5,3.1,2,18
2025-07-20,D002,8.2,2.6,1,16
2025-07-20,D003,6.4,2.1,1,16
2025-07-20,D004,6.3,2.4,1,13
2025-07-21,D001,6.4,2.0,2,13
2025-07-21,D002,7.7,2.8,0,15
2025-07-21,D003,8.5,3.0,2,8
2025-07-21,D004,8.1,3.1,0,16
2025-07-22,D001,5.3,2.3,2,14
2025-07-22,D002,7.9,4.4,2,15
2025-07-22,D003,8.1,4.3,1,24
2025-07-22,D004,8.6,2.8,0,2
2025-07-23,D001,7.9,3.2,1,13
2025-07-23,D002,7.0,3.0,0,4
2025-07-23,D003,7.0,1.9,0,17
2025-07-23,D004,5.3,3.3,0,27
2025-07-24,D001,7.6,3.5,1,30
2025-07-24,D002,7.4,4.5,1,29
2025-07-24,D003,7.1,2.7,0,2
2025-07-24,D004,6.5,2.1,2,21
2025-07-25,D001,7.1,3.8,1,28
2025-07-25,D002,7.4,3.3,0,31
2025-07-25,D003,6.4,2.7,0,25
2025-07-25,D004,6.9,3.9,1,23
2025-07-26,D001,6.1,3.8,1,23
2025-07-26,D002,6.8,3.6,2,25
2025-07-26,D003,7.5,3.9,1,18
2025-07-26,D004,7.8,2.9,2,16
2025-07-27,D001,6.9,2.5,2,22
2025-07-27,D002,5.1,2.7,0,-2
2025-07-27,D003,8.1,4.0,1,12
2025-07-27,D004,6.6,2.7,3,21
2025-07-28,D001,6.2,2.9,2,31
2025-07-28,D002,6.7,2.7,1,25
2025-07-28,D003,7.6,3.5,0,17
2025-07-28,D004,8.2,3.5,0,0
2025-07-29,D001,7.5,4.2,0,15
2025-07-29,D002,6.5,3.1,1,13
2025-07-29,D003,7.1,2.5,1,30
2025-07-29,D004,5.3,3.6,2,33
2025-07-30,D001,6.4,2.1,0,23
2025-07-30,D002,6.2,2.1,0,24
2025-07-30,D003,7.3,4.0,2,26
2025-07-30,D004,7.4,3.7,0,6
2025-07-31,D001,5.8,3.2,1,19
2025-07-31,D002,5.4,3.3,2,14
2025-07-31,D003,5.8,3.5,0,28
2025-07-31,D004,8.7,2.4,1,30
2025-08-01,D001,6.0,1.9,1,17
2025-08-01,D002,7.4,3.6,0,22
2025-08-01,D003,7.0,3.4,2,14
2025-08-01,D004,6.1,2.9,1,10
2025-08-02,D001,7.3,2.3,0,33
2025-08-02,D002,5.7,4.6,2,24
2025-08-02,D003,6.9,2.6,4,30
2025-08-02,D004,8.2,2.1,1,27
2025-08-03,D001,7.1,3.1,1,2
2025-08-03,D002,5.1,3.9,2,12
2025-08-03,D003,7.4,3.5,0,18
2025-08-03,D004,6.8,3.2,1,27
2025-08-04,D001,8.4,1.9,0,14
2025-08-04,D002,7.7,2.1,1,37
2025-08-04,D003,7.8,2.5,1,28
2025-08-04,D004,5.8,4.2,0,20
2025-08-05,D001,6.5,2.3,0,28
2025-08-05,D002,6.4,2.4,0,17
2025-08-05,D003,7.0,3.1,1,16
2025-08-05,D004,6.8,3.6,2,21
2025-08-06,D001,8.0,3.7,0,33
2025-08-06,D002,5.6,2.8,2,13
2025-08-06,D003,6.7,4.0,3,36
2025-08-06,D004,8.3,2.1,0,17
2025-08-07,D001,6.3,2.5,1,7
2025-08-07,D002,7.0,2.8,1,30
2025-08-07,D003,5.8,4.8,1,36
2025-08-07,D004,6.4,4.3,0,15
2025-08-08,D001,7.4,4.0,0,26
2025-08-08,D002,5.7,2.8,0,32
2025-08-08,D003,7.4,3.7,1,25
2025-08-08,D004,5.8,1.4,3,-8
2025-08-09,D001,7.6,4.3,1,3
2025-08-09,D002,6.8,2.8,2,26
2025-08-09,D003,5.9,3.1,1,10
2025-08-09,D004,9.1,2.4,0,26
2025-08-10,D001,7.7,2.9,1,11
2025-08-10,D002,7.0,3.5,0,3
2025-08-10,D003,5.7,3.6,3,8
2025-08-10,D004,6.2,3.7,0,31
2025-08-11,D001,6.2,2.2,1,19
2025-08-11,D002,7.2,3.8,0,25
2025-08-11,D003,7.4,2.6,1,5
2025-08-11,D004,8.0,4.0,1,13
2025-08-12,D001,6.9,3.5,2,13
2025-08-12,D002,7.6,3.3,0,23
2025-08-12,D003,7.1,2.1,2,27
2025-08-12,D004,7.1,3.8,0,25
2025-08-13,D001,5.0,4.7,1,20
2025-08-13,D002,9.0,2.9,0,35
2025-08-13,D003,6.0,3.4,2,20
2025-08-13,D004,7.6,3.2,0,13
2025-08-14,D001,7.5,3.4,2,14
2025-08-14,D002,7.4,4.6,0,40
2025-08-14,D003,8.1,2.8,1,17
2025-08-14,D004,6.6,2.6,1,22
2025-08-15,D001,6.3,3.6,1,26
2025-08-15,D002,7.4,2.2,1,22
2025-08-15,D003,8.0,3.6,0,33
2025-08-15,D004,7.0,3.0,2,27
2025-08-16,D001,7.0,4.0,1,22
2025-08-16,D002,7.3,1.6,1,10
2025-08-16,D003,7.7,2.5,1,17
2025-08-16,D004,6.6,2.9,0,22
2025-08-17,D001,5.1,2.7,0,24
2025-08-17,D002,5.1,1.4,2,27
2025-08-17,D003,6.1,2.4,1,26
2025-08-17,D004,6.1,3.0,1,16
2025-08-18,D001,5.6,3.2,1,16
2025-08-18,D002,7.4,2.7,1,28
2025-08-18,D003,7.0,1.9,0,19
2025-08-18,D004,7.2,3.1,0,27
2025-08-19,D001,8.0,4.0,1,16
2025-08-19,D002,7.1,3.0,0,34
2025-08-19,D003,6.5,2.4,1,11
2025-08-19,D004,7.1,3.5,2,18
2025-08-20,D001,6.2,2.8,2,-6
2025-08-20,D002,9.5,3.4,1,21
2025-08-20,D003,7.9,3.8,0,17
2025-08-20,D004,7.3,2.2,1,11
2025-08-21,D001,4.4,2.8,1,14
2025-08-21,D002,7.2,3.0,1,32
2025-08-21,D003,6.5,2.6,0,6
2025-08-21,D004,7.4,2.5,0,29
2025-08-22,D001,7.4,2.4,3,15
2025-08-22,D002,6.4,2.7,0,24
2025-08-22,D003,6.2,4.3,2,9
2025-08-22,D004,5.3,3.0,0,13
2025-08-23,D001,5.3,2.1,2,6
2025-08-23,D002,5.5,3.3,1,15
2025-08-23,D003,6.2,2.8,1,33
2025-08-23,D004,5.1,3.1,0,28
2025-08-24,D001,8.1,2.7,2,20
2025-08-24,D002,6.1,3.7,1,28
2025-08-24,D003,7.7,3.7,0,7
2025-08-24,D004,6.9,3.9,2,-1
2025-08-25,D001,6.6,2.8,1,23
2025-08-25,D002,7.0,2.8,1,14
2025-08-25,D003,9.2,4.0,1,30
2025-08-25,D004,6.6,3.4,2,15
2025-08-26,D001,7.3,1.9,2,8
2025-08-26,D002,6.8,3.4,0,18
2025-08-26,D003,6.3,2.8,1,17
2025-08-26,D004,8.5,4.2,1,19
2025-08-27,D001,5.5,1.9,2,40
2025-08-27,D002,7.3,2.3,3,10
2025-08-27,D003,7.1,2.7,1,13
2025-08-27,D004,6.8,2.3,0,-4
2025-08-28,D001,7.7,5.5,0,12
2025-08-28,D002,7.5,2.9,0,6
2025-08-28,D003,7.7,2.0,2,18
2025-08-28,D004,6.7,3.0,1,22
2025-08-29,D001,6.4,3.0,3,26
2025-08-29,D002,6.9,2.6,1,21
2025-08-29,D003,4.5,1.7,1,20
2025-08-29,D004,5.7,3.4,0,29
2025-08-30,D001,7.7,3.4,3,41
2025-08-30,D002,6.3,4.3,0,23
2025-08-30,D003,6.2,3.1,1,19
2025-08-30,D004,5.2,2.5,3,0
2025-08-31,D001,6.7,3.6,0,27
2025-08-31,D002,7.0,2.9,1,15
2025-08-31,D003,6.7,1.9,1,20
2025-08-31,D004,8.6,3.0,0,22
