week_start,week_end,driver_id,vendor_treatment,culture_feedback,appreciation_rating,appreciation_reason
2025-08-03,2025-08-09,D002,"Some vendors were helpful, others not so much.",Company culture seemed average this week.,4,Some issues not addressed.
2025-08-03,2025-08-09,D003,"Some vendors were helpful, others not so much.",No big positives or negatives observed.,7,
2025-08-03,2025-08-09,D004,"Mixed interactions with vendors, some good some bad.",Company culture seemed average this week.,5,
2025-08-10,2025-08-16,D001,"Some vendors were helpful, others not so much.","DBJ culture was fine, nothing stood out.",4,Didn't feel particularly valued.
2025-08-10,2025-08-16,D002,"Mixed interactions with vendors, some good some bad.","DBJ culture was fine, nothing stood out.",5,
2025-08-10,2025-08-16,D003,"Neutral vendor experiences, nothing notable.",No big positives or negatives observed.,4,Didn't feel particularly valued.
2025-08-10,2025-08-16,D004,Average treatment from vendors.,"DBJ culture was fine, nothing stood out.",5,
2025-08-17,2025-08-23,D001,"Mixed interactions with vendors, some good some bad.",No big positives or negatives observed.,6,
2025-08-17,2025-08-23,D002,"Mixed interactions with vendors, some good some bad.","DBJ culture was fine, nothing stood out.",4,Didn't feel particularly valued.
2025-08-17,2025-08-23,D003,"Neutral vendor experiences, nothing notable.",Company culture seemed average this week.,4,Some issues not addressed.
2025-08-17,2025-08-23,D004,"Neutral vendor experiences, nothing notable.",Company culture seemed average this week.,7,
2025-08-24,2025-08-30,D001,Average treatment from vendors.,No big positives or negatives observed.,7,
2025-08-24,2025-08-30,D002,Average treatment from vendors.,Company culture seemed average this week.,4,Lack of communication.
2025-08-24,2025-08-30,D003,"Mixed interactions with vendors, some good some bad.","DBJ culture was fine, nothing stood out.",4,Some issues not addressed.
2025-08-24,2025-08-30,D004,"Mixed interactions with vendors, some good some bad.","DBJ culture was fine, nothing stood out.",6,
2025-08-31,2025-08-31,D001,"Mixed interactions with vendors, some good some bad.",Company culture seemed average this week.,6,
2025-08-31,2025-08-31,D002,"Mixed interactions with vendors, some good some bad.",Company culture seemed average this week.,7,
2025-08-31,2025-08-31,D003,Average treatment from vendors.,No big positives or negatives observed.,4,Lack of communication.
2025-08-31,2025-08-31,D004,"Neutral vendor experiences, nothing notable.","Neutral experience with colleagues, some ups and downs.",5,
